Name,Hue (degrees),HSL.S (%),"HSL.L (%), HSV.S (%), HSV.V (%)"
Cadmium yellow,58.0,100.0,50.0
Café au lait,26.0,30.0,50.0
Café noir,30.0,39.0,21.0
Cal Poly Pomona green,137.0,44.0,21.0
Cambridge Blue,140.0,19.0,70.0
Camel,33.0,41.0,59.0
Cameo pink,340.0,62.0,84.0
Camouflage green,91.0,11.0,47.0
Canary,60.0,100.0,80.0
Canary yellow,56.0,100.0,50.0
Candy apple red,2.0,100.0,50.0
Candy pink,355.0,68.0,67.0
Capri,195.0,100.0,50.0
Caput mortuum,7.0,47.0,24.0
Cardinal,350.0,73.0,44.0
Caribbean green,165.0,100.0,40.0
Carmine,350.0,100.0,29.0
Carmine (M&P),342.0,100.0,42.0
Carmine pink,4.0,81.0,59.0
Carmine red,347.0,100.0,50.0
Carnation pink,336.0,100.0,83.0
Carnelian,0.0,74.0,40.0
Carolina blue,204.0,59.0,58.0
Carrot orange,33.0,85.0,53.0
Castleton green,164.0,100.0,17.0
Catalina blue,221.0,90.0,25.0
Catawba,348.0,35.0,33.0
Cedar Chest,8.0,54.0,54.0
Ceil,225.0,39.0,69.0
Celadon,123.0,47.0,78.0
Celadon blue,196.0,100.0,33.0
Celadon green,174.0,47.0,35.0
Celeste,180.0,100.0,85.0
Celestial blue,205.0,59.0,55.0
Cerise,343.0,72.0,53.0
Cerise pink,336.0,82.0,58.0
Cerulean,196.0,100.0,33.0
Cerulean blue,224.0,64.0,45.0
Cerulean frost,208.0,42.0,60.0
CG Blue,196.0,100.0,32.0
CG Red,4.0,74.0,54.0
Chamoisee,26.0,28.0,49.0
Champagne,37.0,72.0,89.0
Champagne pink,25.0,55.0,88.0
Charcoal,204.0,19.0,26.0
Charleston green,180.0,10.0,15.0
Charm pink,340.0,64.0,73.0
Chartreuse (traditional),68.0,100.0,50.0
Chartreuse (web),90.0,100.0,50.0
Cherry,343.0,72.0,53.0
Cherry blossom pink,348.0,100.0,86.0
Chestnut,10.0,48.0,40.0
China pink,333.0,63.0,65.0
China rose,340.0,35.0,49.0
Chinese red,11.0,70.0,39.0
Chinese violet,296.0,17.0,45.0
Chlorophyll green,103.0,100.0,50.0
Chocolate (traditional),31.0,100.0,24.0
Chocolate (web),25.0,75.0,47.0
Chrome yellow,39.0,100.0,50.0
Cinereous,12.0,12.0,54.0
Cinnabar,5.0,76.0,55.0
Cinnamon[citation needed],25.0,75.0,47.0
Cinnamon Satin,343.0,52.0,59.0
Citrine,54.0,92.0,47.0
Citron,64.0,69.0,39.0
Claret,343.0,69.0,29.0
Classic rose,326.0,85.0,89.0
Cobalt Blue,215.0,100.0,34.0
Cocoa brown,25.0,75.0,47.0
Coconut,19.0,42.0,42.0
Coffee,25.0,34.0,33.0
Columbia Blue,200.0,34.0,83.0
Congo pink,5.0,90.0,72.0
Cool Black,212.0,100.0,19.0
Cool grey,229.0,16.0,61.0
Copper,29.0,57.0,46.0
Copper (Crayola),18.0,61.0,63.0
Copper penny,5.0,29.0,55.0
Copper red,14.0,54.0,56.0
Copper rose,0.0,20.0,50.0
Coquelicot,13.0,100.0,50.0
Coral,16.0,100.0,66.0
Coral pink,5.0,90.0,72.0
Coral red,0.0,100.0,63.0
Coral Reef,6.0,97.0,71.0
Cordovan,355.0,37.0,39.0
Corn,54.0,95.0,67.0
Cornell Red,0.0,74.0,40.0
Cornflower blue,219.0,79.0,66.0
Cornsilk,48.0,100.0,93.0
Cosmic Cobalt,241.0,50.0,36.0
Cosmic latte,43.0,100.0,95.0
Coyote brown,62.0,37.0,37.0
Cotton candy,334.0,100.0,87.0
Cream,57.0,100.0,91.0
Crimson,348.0,83.0,47.0
Crimson glory,344.0,100.0,37.0
Crimson red,0.0,100.0,30.0
Cultured,0.0,0.0,96.0
Cyan,180.0,100.0,50.0
Cyan azure,209.0,41.0,51.0
Cyan-blue azure,210.0,49.0,51.0
Cyan cobalt blue,215.0,59.0,38.0
Cyan cornflower blue,199.0,78.0,43.0
Cyan (process),193.0,100.0,46.0
Cyber grape,263.0,31.0,37.0
Cyber yellow,50.0,100.0,50.0
Cyclamen,0.0,87.0,70.0
Daffodil,60.0,100.0,60.0
Dandelion,55.0,86.0,56.0
Dark blue,240.0,100.0,27.0
Dark blue-gray,240.0,20.0,50.0
Dark brown,30.0,51.0,26.0
Dark brown-tangelo,24.0,27.0,42.0
Dark byzantium,315.0,24.0,29.0
Dark candy apple red,0.0,100.0,32.0
Dark cerulean,209.0,88.0,26.0
Dark chestnut,10.0,23.0,49.0
Dark coral,10.0,58.0,54.0
Dark cyan,180.0,100.0,27.0
Dark electric blue,206.0,18.0,40.0
Dark goldenrod,43.0,89.0,38.0
Dark gray (X11),0.0,0.0,66.0
Dark green,158.0,96.0,10.0
Dark green (X11),120.0,100.0,20.0
Dark gunmetal,202.0,15.0,14.0
Dark imperial blue,203.0,100.0,21.0
Dark imperial blue,183.0,100.0,25.0
Dark jungle green,162.0,16.0,12.0
Dark khaki,56.0,38.0,58.0
Dark lava,27.0,18.0,24.0
Dark lavender,270.0,31.0,45.0
Dark liver,330.0,5.0,31.0
Dark liver (horses),12.0,21.0,27.0
Dark magenta,300.0,100.0,27.0
Dark medium gray,0.0,0.0,66.0
Dark midnight blue,210.0,100.0,20.0
Dark moss green,80.0,45.0,25.0
Dark olive green,82.0,39.0,30.0
Dark orange,33.0,100.0,50.0
Dark orchid,280.0,61.0,50.0
Dark pastel blue,212.0,45.0,63.0
Dark pastel green,138.0,97.0,38.0
Dark pastel purple,263.0,56.0,64.0
Dark pastel red,9.0,70.0,45.0
Dark pink,342.0,75.0,62.0
Dark powder blue,220.0,100.0,30.0
Dark puce,354.0,15.0,27.0
Dark purple,291.0,35.0,15.0
Dark raspberry,330.0,56.0,34.0
Dark red,0.0,100.0,27.0
Dark salmon,15.0,72.0,70.0
Dark scarlet,344.0,93.0,17.0
Dark sea green,120.0,25.0,65.0
Dark sienna,0.0,50.0,16.0
Dark sky blue,199.0,47.0,69.0
Dark slate blue,248.0,39.0,39.0
Dark slate gray,180.0,25.0,25.0
Dark spring green,150.0,66.0,27.0
Dark tan,45.0,28.0,44.0
Dark tangerine,38.0,100.0,54.0
Dark taupe,27.0,18.0,24.0
Dark terra cotta,353.0,55.0,55.0
Dark turquoise,181.0,100.0,41.0
Dark vanilla,32.0,31.0,74.0
Dark violet,282.0,100.0,41.0
Dark yellow,52.0,86.0,33.0
Dartmouth green,152.0,100.0,22.0
Davy's grey,0.0,0.0,33.0
Debian red,339.0,91.0,44.0
Deep aquamarine,161.0,34.0,38.0
Deep carmine,347.0,68.0,39.0
Deep carmine pink,357.0,86.0,56.0
Deep carrot orange,19.0,81.0,54.0
Deep cerise,330.0,69.0,53.0
Deep champagne,35.0,90.0,81.0
Deep chestnut,3.0,45.0,50.0
Deep coffee,1.0,27.0,35.0
Deep fuchsia,300.0,47.0,54.0
Deep Green,122.0,91.0,21.0
Deep green-cyan turquoise,165.0,80.0,27.0
Deep jungle green,178.0,100.0,15.0
Deep koamaru,240.0,33.0,30.0
Deep lemon,47.0,92.0,53.0
Deep lilac,280.0,43.0,53.0
Deep magenta,300.0,100.0,40.0
Deep maroon,0.0,100.0,26.0
Deep mauve,300.0,53.0,64.0
Deep moss green,129.0,28.0,29.0
Deep peach,26.0,100.0,82.0
Deep pink,328.0,100.0,54.0
Deep puce,351.0,31.0,51.0
Deep Red,0.0,99.0,26.0
Deep ruby,336.0,35.0,38.0
Deep saffron,30.0,100.0,60.0
Deep sky blue,195.0,100.0,50.0
Deep Space Sparkle,194.0,19.0,36.0
Deep spring bud,82.0,39.0,30.0
Deep Taupe,356.0,15.0,43.0
Deep Tuscan red,342.0,21.0,33.0
Deep violet,270.0,100.0,20.0
Deer,28.0,41.0,54.0
Denim,213.0,80.0,41.0
Denim Blue,227.0,69.0,42.0
Desaturated cyan,180.0,20.0,50.0
Desert,33.0,41.0,59.0
Desert sand,25.0,63.0,81.0
Desire,352.0,81.0,58.0
Diamond,191.0,100.0,86.0
Dim gray,0.0,0.0,41.0
Dingy Dungeon,347.0,60.0,48.0
Dirt,29.0,30.0,47.0
Dodger blue,210.0,100.0,56.0
Dogwood rose,335.0,80.0,47.0
Dollar bill,98.0,39.0,56.0
Dolphin Gray,130.0,5.0,53.0
Donkey brown,35.0,44.0,28.0
Drab,43.0,73.0,34.0
Duke blue,240.0,100.0,31.0
Dust storm,6.0,35.0,84.0
Dutch white,42.0,62.0,84.0
Earth yellow,34.0,68.0,63.0
Ebony,97.0,8.0,34.0
Ecru,45.0,35.0,63.0
Eerie black,0.0,0.0,11.0
Eggplant,329.0,20.0,32.0
Eggshell,46.0,46.0,89.0
Egyptian blue,226.0,82.0,36.0
Electric blue,183.0,100.0,75.0
Electric crimson,345.0,100.0,50.0
Electric cyan,180.0,100.0,50.0
Electric green,120.0,100.0,50.0
Electric indigo,266.0,100.0,50.0
Electric lavender,290.0,100.0,87.0
Electric lime,72.0,100.0,50.0
Electric purple,285.0,100.0,50.0
Electric ultramarine,255.0,100.0,50.0
Electric violet,274.0,100.0,50.0
Electric yellow,60.0,100.0,60.0
Emerald,140.0,52.0,55.0
Eminence,284.0,46.0,35.0
English green,162.0,48.0,20.0
English lavender,338.0,25.0,61.0
English red,356.0,39.0,48.0
English vermillion,358.0,57.0,54.0
English violet,289.0,21.0,30.0
Eton blue,134.0,31.0,69.0
Eucalyptus,161.0,65.0,55.0
Fallow,33.0,41.0,59.0
Falu red,0.0,68.0,30.0
Fandango,320.0,56.0,45.0
Fandango pink,338.0,68.0,60.0
Fashion fuchsia,320.0,100.0,48.0
Fawn,30.0,69.0,67.0
Feldgrau,143.0,9.0,33.0
Feldspar,28.0,95.0,84.0
Fern green,106.0,29.0,37.0
Ferrari Red,9.0,100.0,50.0
Field drab,42.0,57.0,27.0
Fiery Rose,350.0,100.0,67.0
Firebrick,0.0,68.0,42.0
Fire engine red,357.0,73.0,47.0
Flame,17.0,77.0,51.0
Flamingo pink,344.0,95.0,77.0
Flattery,28.0,51.0,28.0
Flavescent,52.0,87.0,76.0
Flax,50.0,76.0,72.0
Flirt,320.0,100.0,32.0
Floral white,40.0,100.0,97.0
Fluorescent orange,45.0,100.0,50.0
Fluorescent pink,328.0,100.0,54.0
Fluorescent yellow,72.0,100.0,50.0
Folly,341.0,100.0,50.0
Forest green (traditional),149.0,97.0,14.0
Forest green (web),120.0,61.0,34.0
French beige,26.0,30.0,50.0
French bistre,34.0,27.0,41.0
French blue,203.0,100.0,37.0
French fuchsia,334.0,98.0,62.0
French lilac,290.0,19.0,47.0
French lime,89.0,98.0,61.0
French mauve,300.0,53.0,64.0
French pink,339.0,97.0,71.0
French plum,325.0,73.0,29.0
French puce,11.0,79.0,17.0
French raspberry,349.0,64.0,48.0
French rose,338.0,91.0,63.0
French sky blue,212.0,99.0,73.0
