Name,Hue (degrees)
Wild watermelon,350.0
Willpower orange,21.0
Windsor tan,30.0
Wine,353.0
Wine dregs,336.0
Winter Sky,331.0
Winter Wizard,196.0
Wintergreen Dream,167.0
Wisteria,281.0
Wood brown,33.0
Xanadu,136.0
Yale Blue,212.0
Yankees blue,221.0
Yellow,60.0
Yellow (Crayola),50.0
Yellow (Munsell),51.0
Yellow (NCS),50.0
Yellow (Pantone),53.0
Yellow (process),56.0
Yellow (RYB),60.0
Yellow-green,80.0
Yellow Orange,34.0
Yellow rose,56.0
Yellow Sunshine,58.0
Zaffre,233.0
Zinnwaldite brown,23.0
Zomp,166.0
